text,true_label,true_label_name,predicted_label,predicted_label_name
How far is it from Denver to Aspen ?,5,NUM,4,LOC
"What county is Modesto , California in ?",4,LOC,3,HUM
Who was Galileo ?,3,HUM,3,HUM
What is an atom ?,2,DESC,4,LOC
When did Hawaii become a state ?,5,NUM,3,HUM
How tall is the Sears Building ?,5,NUM,1,ENTY
George Bush purchased a small interest in which baseball team ?,3,HUM,3,HUM
What is Australia 's national flower ?,1,ENTY,3,HUM
Why does the moon turn orange ?,2,DESC,4,LOC
What is autism ?,2,DESC,3,HUM
What city had a world fair in 1900 ?,4,LOC,1,ENTY
What person 's head is on a dime ?,3,HUM,3,HUM
What is the average weight of a Yellow Labrador ?,5,NUM,1,ENTY
Who was the first man to fly across the Pacific Ocean ?,3,HUM,4,LOC
When did Idaho become a state ?,5,NUM,3,HUM
What is the life expectancy for crickets ?,5,NUM,1,ENTY
What metal has the highest melting point ?,1,ENTY,3,HUM
Who developed the vaccination against polio ?,3,HUM,3,HUM
What is epilepsy ?,2,DESC,3,HUM
What year did the Titanic sink ?,5,NUM,4,LOC
Who was the first American to walk in space ?,3,HUM,4,LOC
What is a biosphere ?,2,DESC,4,LOC
What river in the US is known as the Big Muddy ?,4,LOC,3,HUM
What is bipolar disorder ?,2,DESC,3,HUM
What is cholesterol ?,2,DESC,1,ENTY
Who developed the Macintosh computer ?,3,HUM,3,HUM
What is caffeine ?,2,DESC,1,ENTY
What imaginary line is halfway between the North and South Poles ?,4,LOC,1,ENTY
Where is John Wayne airport ?,4,LOC,3,HUM
What hemisphere is the Philippines in ?,4,LOC,1,ENTY
What is the average speed of the horses at the Kentucky Derby ?,5,NUM,3,HUM
Where are the Rocky Mountains ?,4,LOC,4,LOC
What are invertebrates ?,2,DESC,1,ENTY
What is the temperature at the center of the earth ?,5,NUM,4,LOC
When did John F. Kennedy get elected as President ?,5,NUM,3,HUM
How old was Elvis Presley when he died ?,5,NUM,3,HUM
Where is the Orinoco River ?,4,LOC,3,HUM
How far is the service line from the net in tennis ?,5,NUM,4,LOC
How much fiber should you have per day ?,5,NUM,3,HUM
How many Great Lakes are there ?,5,NUM,4,LOC
Material called linen is made from what plant ?,1,ENTY,3,HUM
What is Teflon ?,2,DESC,3,HUM
What is amitriptyline ?,2,DESC,3,HUM
What is a shaman ?,2,DESC,3,HUM
What is the proper name for a female walrus ?,1,ENTY,1,ENTY
What is a group of turkeys called ?,1,ENTY,3,HUM
How long did Rip Van Winkle sleep ?,5,NUM,3,HUM
What are triglycerides ?,2,DESC,4,LOC
How many liters in a gallon ?,5,NUM,4,LOC
What is the name of the chocolate company in San Francisco ?,3,HUM,3,HUM
What are amphibians ?,2,DESC,3,HUM
Who discovered x-rays ?,3,HUM,3,HUM
Which comedian 's signature line is `` Can we talk '' ?,3,HUM,3,HUM
What is fibromyalgia ?,2,DESC,3,HUM
What is done with worn or outdated flags ?,2,DESC,3,HUM
What does cc in engines mean ?,2,DESC,3,HUM
When did Elvis Presley die ?,5,NUM,3,HUM
What is the capital of Yugoslavia ?,4,LOC,3,HUM
Where is Milan ?,4,LOC,4,LOC
What is the speed hummingbirds fly ?,5,NUM,1,ENTY
What is the oldest city in the United States ?,4,LOC,4,LOC
What was W.C. Fields ' real name ?,3,HUM,3,HUM
"What river flows between Fargo , North Dakota and Moorhead , Minnesota ?",4,LOC,3,HUM
What do bats eat ?,1,ENTY,3,HUM
